	ENG_t	FR_t	eng_stem	fr_stem	ratio_similarity
1882	lit	allumé	lit	allum	25
1883	litigant	plaideur	litig	plaideur	31
1884	littlest	le plus petit	littlest	le plus pet	42
1885	liveliest	le plus animé	liveliest	le plus anim	19
1886	lobbyist	lobbyiste	lobbyist	lobbyist	100
1887	lobotomist	lobotomiste	lobotomist	lobotom	82
1888	locket	médaillon	locket	médaillon	27
1889	lockout	lock-out	lockout	lock-out	93
1890	locust	criquet	locust	criquet	46
1891	lodgement	logement	lodgement	log	50
1892	loft	grenier	loft	greni	0
1893	loftiest	le plus élevé	loftiest	le plus élev	30
1894	loneliest	le plus solitaire	loneliest	le plus solitair	40
1895	longest	le plus long	longest	le plus long	42
1896	longlost	depuis longtemps	longlost	depuis longtemp	43
1897	lookout	Attention	lookout	attent	15
1898	loosest	le plus lâche	loosest	le plus lâch	21
1899	loot	butin	loot	butin	22
1900	lost	perdu	lost	perdu	0
1901	lot	parcelle	lot	parcel	22
1902	loudest	le plus fort	loudest	le plus fort	32
1903	lousiest	le plus moche	lousiest	le plus moch	30
1904	lout	voyou	lout	voyou	44
1905	loveliest	le plus beau	loveliest	le plus beau	38
1906	lowest	le plus bas	lowest	le plus b	40
1907	lowliest	le plus humble	lowliest	le plus humbl	29
1908	loyalist	loyaliste	loyalist	loyal	77
1909	lubricant	lubrifiant	lubric	lubrifi	77
1910	luckiest	le plus chanceux	luckiest	le plus chanc	29
1911	luminescent	luminescent	luminesc	luminescent	84
1912	lumpiest	le plus grumeleux	lumpiest	le plus grumel	36
1913	lushest	le plus luxuriant	lushest	le plus luxuri	29
1914	lust	luxure	lust	luxur	44
1915	lustiest	plus vigoureux	lustiest	plus vigour	42
1916	luxuriant	luxuriant	luxuri	luxuri	100
1917	lyricist	parolier	lyricist	paroli	29
1918	lyrist	lyrique	lyrist	lyriqu	67
1919	machinist	machinist	machinist	machinist	100
1920	maddest	le plus fou	maddest	le plus fou	22
1921	maggot	asticot	maggot	asticot	46
1922	magnet	aimant	magnet	aim	22
1923	magnificent	magnifique	magnific	magnif	86
1924	magniloquent	magniloquent	magniloqu	magniloquent	86
1925	maidservant	servante	maidserv	serv	67
1926	mailshot	mailing	mailshot	mailing	53
1927	makeshift	de fortune	makeshift	de fortun	33
1928	makeweight	faire poids	makeweight	faire poid	30
1929	maladjustment	inadaptation	maladjust	inadapt	38
1930	maladroit	maladroit	maladroit	maladroit	100
1931	malcontent	mécontent	malcont	mécontent	62
1932	malevolent	malveillant	malevol	malveil	71
1933	malignant	malin	malign	malin	91
1934	mallet	maillet	mallet	maillet	92
1935	malnourishment	malnutrition	malnourish	malnutrit	74
1936	malt	malt	malt	malt	100
1937	maltreat	maltraiter	maltreat	maltrait	88
1938	maltreatment	mauvais traitement	maltreat	mauvais trait	57
1939	management	la gestion	manag	la gest	33
1940	manhunt	chasse à l'homme	manhunt	chasse à l'homm	9
1941	manifest	manifeste	manifest	manifest	100
1942	manliest	le plus viril	manliest	le plus viril	19
1943	mannerist	maniériste	mannerist	manier	67
1944	manservant	valet	manserv	valet	33
1945	manuscript	manuscrit	manuscript	manuscr	82
1946	maoist	maoïste	maoist	maoïst	83
1947	market	marché	market	march	55
1948	marmoset	ouistiti	marmoset	ouistit	40
1949	marmot	marmotte	marmot	marmott	92
1950	marshiest	le plus marécageux	marshiest	le plus marécag	25
1951	mart	marché	mart	march	67
1952	martinet	Martinet	martinet	martinet	100
1953	marxist	marxiste	marxist	marxist	100
1954	mascot	mascotte	mascot	mascott	92
1955	masochist	masochiste	masochist	masoch	80
1956	mast	mât	mast	mât	57
1957	mat	tapis	mat	tapis	25
1958	materialist	matérialiste	materialist	matérial	74
1959	matt	mat	matt	mat	86
1960	matteroffact	En fait	matteroffact	en fait	42
1961	maziest	maziest	maziest	maziest	100
1962	meanest	méchant	meanest	mech	36
1963	meant	signifiait	meant	signifi	17
1964	measurement	la mesure	measur	la mesur	71
1965	meat	Viande	meat	viand	22
1966	meatiest	le plus charnu	meatiest	le plus charnu	18
1967	mechanist	mécaniste	mechanist	mécan	57
1968	medallist	médaillé	medallist	médaill	62
1969	medievalist	médiéviste	medievalist	médiev	59
1970	meekest	le plus doux	meekest	le plus doux	21
1971	meet	rencontrer	meet	rencontr	33
1972	megavolt	mégavolt	megavolt	mégavolt	88
1973	megawatt	mégawatt	megawatt	mégawatt	88
1974	melt	faire fondre	melt	faire fondr	13
1975	mendicant	mendiant	mendic	mendi	91
1976	merchant	marchande	merchant	marchand	75
1977	merest	le plus simple	merest	le plus simpl	11
1978	merit	mérite	merit	mérit	80
1979	merriest	joyeux	merriest	joyeux	14
1980	merriment	gaieté	merriment	gaiet	29
1981	messiest	le plus désordonné	messiest	le plus désordon	25
1982	met	rencontré	met	rencontr	36
1983	metallurgist	métallurgiste	metallurgist	métallurg	76
1984	meteorologist	météorologue	meteorologist	météorologu	67
1985	microbiologist	microbiologiste	microbiologist	microbiolog	88
1986	microdot	microdot	microdot	microdot	100
1987	microlight	ULM	microlight	ulm	15
1988	microscopist	microscopiste	microscopist	microscop	86
1989	middleweight	poids moyen	middleweight	poids moyen	26
1990	midflight	en plein vol	midflight	en plein vol	19
1991	midget	nain	midget	nain	20
1992	midmost	au milieu	midmost	au milieu	25
1993	midnight	minuit	midnight	minuit	71
1994	midst	milieu	midst	milieu	36
1995	midwicket	Midwicket	midwicket	midwicket	100
1996	might	force	might	forc	0
1997	mightiest	le plus puissant	mightiest	le plus puiss	18
1998	migrant	migrant	migrant	migr	73
1999	mildest	le plus doux	mildest	le plus doux	21
2000	milepost	borne kilométrique	milepost	borne kilometr	36
2001	militant	militant	milit	milit	100
2002	militarist	militariste	militarist	militar	82
2003	milkiest	le plus laiteux	milkiest	le plus lait	20
2004	millet	Millet	millet	millet	100
2005	milt	laitance	milt	laitanc	36
2006	minaret	minaret	minaret	minaret	100
2007	mincemeat	Viande hachée	mincemeat	viande hach	30
2008	mindset	mentalité	mindset	mental	46
2009	mineshaft	puits de mine	mineshaft	puits de min	29
2010	miniaturist	miniaturiste	miniaturist	miniatur	84
2011	minimalist	minimaliste	minimalist	minimal	82
2012	miniskirt	mini jupe	miniskirt	mini jup	47
2013	mint	menthe	mint	menth	67
2014	mintiest	menthe	mintiest	menth	46
2015	minuet	menuet	minuet	menuet	83
2016	minutest	le moindre	minutest	le moindr	35
2017	misalignment	désalignement	misalign	désalign	75
2018	miscast	mal acheminé	miscast	mal achemin	22
2019	misconduct	inconduite	misconduct	inconduit	74
2020	miscount	mauvais compte	miscount	mauvais compt	57
2021	miscreant	scélérat	miscreant	scélérat	59
2022	misdirect	mal orienté	misdirect	mal orient	42
2023	misfit	inadapté	misfit	inadapt	31
2024	misgovernment	mauvaise administration	misgovern	mauvaise administr	30
2025	misinterpret	mal interpréter	misinterpret	mal interpret	80
2026	misjudgement	mauvaise évaluation	misjudg	mauvaise évalu	38
2027	misjudgment	mauvaise évaluation	misjudg	mauvaise évalu	38
2028	mismanagement	mauvaise gestion	mismanag	mauvaise gest	38
2029	misogynist	misogyne	misogynist	misogyn	82
2030	misplacement	égarement	misplac	égar	18
2031	misprint	coquille	misprint	coquill	13
2032	misrepresent	dénaturer	misrepres	dénatur	12
2033	misspelt	mal orthographié	misspelt	mal orthographi	17
2034	misspent	mal dépensé	misspent	mal dépens	44
2035	misstatement	déclaration inexacte	misstat	déclaration inexact	15
2036	mist	brume	mist	brum	25
2037	mistiest	le plus brumeux	mistiest	le plus brum	10
2038	mistreat	maltraiter	mistreat	maltrait	62
2039	mistreatment	maltraitance	mistreat	maltrait	62
2040	mistrust	méfiance	mistrust	méfianc	27
2041	mitt	gant	mitt	gant	25
2042	moat	fossé	moat	foss	25
2043	modernist	moderniste	modernist	modern	80
2044	modest	modeste	modest	modest	100
2045	moist	humide	moist	humid	40
2046	molest	molester	molest	molest	100
2047	moment	moment	moment	moment	100
2048	monarchist	monarchiste	monarchist	monarch	82
2049	monetarist	monétariste	monetarist	monétar	71
2050	monopolist	monopoliste	monopolist	monopol	82
2051	monotheist	monothéiste	monotheist	monothé	71
2052	monument	monument	monument	monu	67
2053	moodiest	le plus maussade	moodiest	le plus maussad	17
2054	moonlight	clair de lune	moonlight	clair de lun	10
2055	moonlit	éclairé par la lune	moonlit	éclairé par la lun	8
2056	moonshot	moonshot	moonshot	moonshot	100
2057	moot	discutable	moot	discut	20
2058	moralist	moraliste	moralist	moral	77
2059	mordant	mordant	mordant	mord	73
2060	mort	mort	mort	mort	100
2061	mossiest	le plus moussu	mossiest	le plus moussu	36
2062	most	les plus	most	les plus	17
2063	motet	motet	motet	motet	100
2064	motliest	le plus motivé	motliest	le plus motiv	38
2065	motorcyclist	motocycliste	motorcyclist	motocycl	80
2066	motorist	automobiliste	motorist	automobil	35
2067	mouldiest	le plus moisi	mouldiest	le plus mois	38
2068	moult	mue	moult	mu	57
2069	mount	monter	mount	mont	89
2070	movement	mouvement	movement	mouv	50
2071	mozart	Mozart	mozart	mozart	100
2072	muddiest	le plus boueux	muddiest	le plus bou	21
2073	mullet	mulet	mullet	mulet	91
2074	munificent	munificent	munific	munificent	82
2075	murkiest	le plus sombre	murkiest	le plus sombr	19
2076	muscat	muscat	muscat	muscat	100
2077	musicologist	musicologue	musicologist	musicologu	82
2078	musket	mousquet	musket	mousquet	71
2079	muskiest	le plus musclé	muskiest	le plus muscl	29
2080	must	doit	must	doit	25
2081	mustiest	moisi	mustiest	mois	33
2082	mutant	mutant	mutant	mut	67
2083	mutt	cabot	mutt	cabot	22
2084	narrowest	le plus étroit	narrowest	le plus étroit	26
2085	nascent	naissant	nascent	naiss	50
2086	nastiest	le plus méchant	nastiest	le plus mech	20
2087	nationalist	nationaliste	nationalist	national	84
2088	naturalist	naturaliste	naturalist	natural	82
2089	naturist	naturiste	naturist	natur	77
2090	naught	néant	naught	né	25
2091	naughtiest	le plus vilain	naughtiest	le plus vilain	8
2092	nearest	la plus proche	nearest	la plus proch	20
2093	neat	soigné	neat	soign	22
2094	neatest	le plus soigné	neatest	le plus soign	10
2095	neediest	le plus nécessiteux	neediest	le plus nécessit	33
2096	needlecraft	aiguille	needlecraft	aiguill	11
2097	neglect	négligence	neglect	négligent	62
2098	negligent	négligent	neglig	négligent	67
2099	nest	nid	nest	nid	29
2100	net	rapporter	net	rapport	20
2101	nethermost	au plus bas	nethermost	au plus b	11
2102	nett	net	nett	net	86
2103	neurologist	neurologue	neurologist	neurologu	80
2104	neutralist	neutraliste	neutralist	neutral	82
2105	newest	plus récent	newest	plus récent	24
2106	newsagent	marchand de journaux	newsag	marchand de journal	24
2107	newscast	nouvelles	newscast	nouvel	29
2108	newsprint	papier journal	newsprint	papier journal	9
2109	newt	triton	newt	triton	20
2110	next	suivant	next	suiv	0
2111	nicest	le plus gentil	nicest	le plus gentil	20
2112	night	nuit	night	nuit	67
2113	nihilist	nihiliste	nihilist	nihil	77
2114	nit	lente	nit	lent	57
2115	nitwit	crétin	nitwit	crétin	17
2116	noblest	le plus noble	noblest	le plus nobl	42
2117	noisiest	le plus bruyant	noisiest	le plus brui	10
2118	nonchalant	nonchalant	nonchal	nonchal	100
2119	nonconformist	non-conformiste	nonconformist	non-conform	83
2120	nonevent	aucun événement	nonev	aucun éven	27
2121	nonexistent	inexistant	nonexist	inexist	80
2122	nonpayment	non-paiement	nonpay	non-pai	77
2123	nonviolent	non violent	nonviol	non violent	78
2124	northernmost	le plus au nord	northernmost	le plus au nord	22
2125	nosiest	curieux	nosiest	curieux	29
2126	not	ne pas	not	ne p	29
2127	nougat	nougat	nougat	nougat	100
2128	nought	néant	nought	né	25
2129	nourishment	nourriture	nourish	nourritur	62
2130	novelist	romancier	novelist	romanci	27
2131	nudist	nudiste	nudist	nudist	100
2132	nugget	pépite	nugget	pépit	18
2133	numerologist	numérologue	numerologist	numérologu	73
2134	nut	noix	nut	noix	29
2135	nutrient	nutritif	nutrient	nutrit	86
2136	nutriment	substance nutritive	nutriment	substance nutrit	48
2137	nutritionist	nutritionniste	nutritionist	nutrition	86
2138	oast	oast	oast	oast	100
2139	oat	avoine	oat	avoin	25
2140	obedient	obéissant	obedi	obéiss	55
2141	object	objet	object	objet	91
2142	oboist	hautboïste	oboist	hautboïst	53
2143	obscurantist	obscurantiste	obscurantist	obscurant	86
2144	obscurest	le plus obscur	obscurest	le plus obscur	52
2145	observant	observateur	observ	observ	100
2146	obsolescent	obsolescent	obsolesc	obsolescent	84
2147	obstruct	obstruer	obstruct	obstru	86
2148	occident	Occident	occid	occident	77
2149	occult	occulte	occult	occult	100
2150	occupant	occupant	occup	occup	100
2151	ocelot	ocelot	ocelot	ocelot	100
2152	octant	octant	octant	octant	100
2153	octet	octuor	octet	octuor	55
2154	oculist	oculiste	oculist	ocul	73
2155	oddest	le plus étrange	oddest	le plus étrang	30
2156	oddment	fin de série	oddment	fin de ser	24
2157	offbeat	décalé	offbeat	décal	17
2158	offcut	coupure	offcut	coupur	33
2159	offprint	tiré à part	offprint	tiré à part	32
2160	offset	décalage	offset	décalag	0
2161	offshoot	ramification	offshoot	ramif	15
2162	oft	maintes fois	oft	maintes fois	13
2163	oiliest	le plus huileux	oiliest	le plus huil	21
2164	ointment	pommade	ointment	pommad	29
2165	oldest	le plus ancien	oldest	le plus ancien	30
2166	omit	omettre	omit	omettr	60
2167	omnipotent	omnipotent	omnipot	omnipotent	82
2168	omnipresent	omniprésent	omnipres	omniprésent	74
2169	omniscient	omniscient	omnisci	omniscient	82
2170	onset	début	onset	début	20
2171	onslaught	assaut	onslaught	assaut	53
2172	opalescent	opalescent	opalesc	opalescent	82
2173	openheart	coeur ouvert	openheart	coeur ouvert	48
2174	ophthalmologist	ophtalmologiste	ophthalmologist	ophtalmolog	85
2175	opponent	adversaire	oppon	adversair	0
2176	opportunist	opportuniste	opportunist	opportun	84
2177	opt	opter	opt	opter	75
2178	optimist	optimiste	optimist	optim	77
2179	opulent	opulent	opul	opulent	73
2180	orbit	orbite	orbit	orbit	100
2181	organist	organiste	organist	organ	77
2182	orient	Orient	orient	orient	100
2183	ornament	ornement	ornament	ornement	88
2184	ornithologist	ornithologue	ornithologist	ornithologu	83
2185	orthodontist	orthodontiste	orthodontist	orthodont	86
2186	ought	devrait	ought	devr	0
2187	oust	évincer	oust	évinc	0
2188	out	en dehors	out	en dehor	18
2189	outburst	explosion	outburst	explos	29
2190	outcast	banni	outcast	bann	18
2191	outermost	à l'extérieur	outermost	à l'extérieur	18
2192	outfit	équiper	outfit	équip	36
2193	outlast	survivre à	outlast	survivre à	12
2194	outlet	sortie	outlet	sort	40
2195	outmost	le plus	outmost	le plus	29
2196	outpatient	ambulatoire	outpati	ambulatoir	47
2197	outplacement	outplacement	outplac	outplac	100
2198	outpost	avant-poste	outpost	avant-post	59
2199	output	production	output	product	46
2200	outright	carrément	outright	carr	17
2201	outset	début	outset	début	36
2202	outsmart	déjouer	outsmart	déjou	31
2203	outwit	déjouer	outwit	déjou	36
2204	overact	charger son rôle	overact	charger son rôl	18
2205	overcast	couvert	overcast	couvert	67
2206	overcoat	pardessus	overcoat	pardessus	12
2207	overcommitment	engagement excessif	overcommit	engagement excess	15
2208	overconfident	trop confiant	overconfid	trop confi	60
2209	overdraft	découvert	overdraft	découvert	56
2210	overeat	trop manger	overeat	trop mang	25
2211	overheat	surchauffer	overheat	surchauff	35
2212	overindulgent	exagéré	overindulg	exager	25
2213	overnight	pendant la nuit	overnight	pendant la nuit	33
2214	overpayment	trop-payé	overpay	trop-pai	40
2215	overprint	surcharge	overprint	surcharg	24
2216	overreact	réagir de façon excessive	overreact	réagir de façon excess	19
2217	overshoot	dépasser	overshoot	dépass	13
2218	overshot	dépassé	overshot	dépass	14
2219	oversight	surveillance	oversight	surveil	38
2220	overslept	trop dormi	overslept	trop dorm	22
2221	overspent	trop dépensé	oversp	trop dépens	35
2222	overstatement	exagération	overstat	exager	29
2223	overt	manifeste	overt	manifest	31
2224	overweight	en surpoids	overweight	en surpoid	20
2225	overwrought	excédé	overwrought	exced	12
2226	oviduct	oviducte	oviduct	oviduct	100
2227	owlet	jeune hibou	owlet	jeune hibou	12
2228	oxcart	char à bœufs	oxcart	char à bœuf	35
2229	oxidant	oxydant	oxid	oxyd	75
2230	pacifist	pacifiste	pacifist	pacif	77
2231	packet	paquet	packet	paquet	67
2232	pact	pacte	pact	pact	100
2233	pageant	reconstitution historique	pageant	reconstitution histor	21
2234	paint	Peinture	paint	peintur	67
2235	palaeontologist	paléontologiste	palaeontologist	paléontolog	77
2236	palest	le plus pâle	palest	le plus pâl	35
2237	palimpsest	palimpseste	palimpsest	palimpsest	100
2238	pallet	palette	pallet	palet	91
2239	palmist	chiromancien	palmist	chiromancien	21
2240	paltriest	paltriest	paltriest	paltriest	100
2241	pamphlet	brochure	pamphlet	brochur	13
2242	panellist	panéliste	panellist	panel	71
2243	pant	haleter	pant	halet	44
2244	pantheist	panthéiste	pantheist	panthéist	89
2245	paperweight	presse-papiers	paperweight	presse-papi	36
2246	papist	papiste	papist	papist	100
2247	parachutist	parachutiste	parachutist	parachut	84
2248	parakeet	perruche	parakeet	perruch	27
2249	paramount	primordial	paramount	primordial	42
2250	parapet	parapet	parapet	parapet	100
2251	parapsychologist	parapsychologue	parapsychologist	parapsychologu	87
2252	paraquat	paraquat	paraquat	paraquat	100
2253	parasitologist	parasitologue	parasitologist	parasitologu	85
2254	parchment	parchemin	parchment	parchemin	78
2255	parent	parent	parent	parent	100
2256	parfait	parfait	parfait	parf	73
2257	parliament	parlement	parliament	parl	57
2258	parodist	parodiste	parodist	parod	77
2259	parquet	parquet	parquet	parquet	100
2260	parrot	perroquet	parrot	perroquet	67
2261	part	partie	part	part	100
2262	participant	participant	particip	particip	100
2263	passant	passant	passant	pass	73
2264	passport	passeport	passport	passeport	94
2265	past	passé	past	pass	75
2266	pat	tapoter	pat	tapot	50
2267	patchiest	le plus irrégulier	patchiest	le plus irréguli	16
2268	patent	brevet	patent	brevet	17
2269	paternalist	paternaliste	paternalist	paternal	84
2270	pathologist	pathologiste	pathologist	patholog	84
2271	patient	patient	patient	patient	100
2272	patriot	patriote	patriot	patriot	100
2273	pavement	chaussée	pavement	chauss	14
2274	payment	Paiement	payment	pai	40
2275	peachiest	le plus pêcheur	peachiest	le plus pêcheur	33
2276	peanut	arachide	peanut	arachid	15
2277	peasant	paysan	peasant	paysan	77
2278	peat	tourbe	peat	tourb	22
2279	pedant	pédant	pedant	ped	67
2280	pediment	fronton	pediment	fronton	27
2281	pellet	pastille	pellet	pastill	46
2282	pelmet	lambrequin	pelmet	lambrequin	12
2283	pelt	peau	pelt	peau	50
2284	penchant	penchant	penchant	pench	77
2285	pendant	pendentif	pendant	pendent	86
2286	penitent	pénitent	penit	pénitent	62
2287	pennant	fanion	pennant	fanion	31
2288	pent	pent	pent	pent	100
2289	peppermint	menthe poivrée	peppermint	menthe poivr	27
2290	percent	pour cent	percent	pour cent	75
2291	percept	percevoir	percept	percevoir	62
2292	percipient	percepteur	percipi	percepteur	59
2293	percussionist	percussionniste	percussionist	percussion	87
2294	perfect	parfait	perfect	parf	55
2295	perfectionist	perfectionniste	perfectionist	perfection	87
2296	perkiest	guilleret	perkiest	guilleret	47
2297	permafrost	pergélisol	permafrost	pergélisol	40
2298	permanent	permanent	perman	permanent	80
2299	permit	permis	permit	perm	80
2300	persist	persister	persist	persist	100
2301	persistent	persistant	persist	persist	100
2302	pert	pert	pert	pert	100
2303	pertinent	pertinent	pertin	pertinent	80
2304	pervert	pervertir	pervert	pervert	100
2305	pessimist	pessimiste	pessimist	pessim	80
2306	pest	ravageur	pest	ravageur	17
2307	pestilent	pestilentiel	pestil	pestilentiel	67
2308	pet	animal de compagnie	pet	animal de compagn	10
2309	petit	petit	petit	pet	75
2310	petticoat	jupon	petticoat	jupon	29
2311	pettiest	le plus mesquin	pettiest	le plus mesquin	26
2312	petulant	irritable	petul	irrit	20
2313	pharmacist	pharmacien	pharmacist	pharmacien	80
2314	pharmacologist	pharmacologue	pharmacologist	pharmacologu	85
2315	pheasant	faisan	pheasant	faisan	57
2316	philanthropist	philanthrope	philanthropist	philanthrop	88
2317	philologist	philologue	philologist	philologu	80
2318	phoneticist	phonéticien	phoneticist	phonéticien	73
2319	phosphorescent	phosphorescent	phosphoresc	phosphorescent	88
2320	photostat	photostat	photostat	photostat	100
2321	physicist	physicien	physicist	physicien	78
2322	physiologist	physiologiste	physiologist	physiolog	86
2323	physiotherapist	physiothérapeute	physiotherapist	physiothérapeut	80
2324	pianist	pianiste	pianist	pianist	100
2325	picket	piquet	picket	piquet	67
2326	pickpocket	pickpocket	pickpocket	pickpocket	100
2327	piglet	porcelet	piglet	porcelet	57
2328	pigment	pigment	pigment	pigment	100
2329	pilot	pilote	pilot	pilot	100
2330	pinpoint	repérer	pinpoint	reper	15
2331	pint	pinte	pint	pint	100
2332	pipit	pipit	pipit	pip	75
2333	piquant	piquant	piquant	piqu	73
2334	pit	fosse	pit	foss	0
2335	pithiest	le plus lapidaire	pithiest	le plus lapidair	25
2336	pivot	pivot	pivot	pivot	100
2337	placement	placement	placement	plac	62
2338	plagiarist	plagiaire	plagiarist	plagiair	78
2339	plainest	le plus simple	plainest	le plus simpl	29
2340	plaint	plainte	plaint	plaint	100
2341	plait	tresser	plait	tress	20
2342	planet	planète	planet	planet	100
2343	plangent	retentissant	plangent	retent	43
2344	plant	usine	plant	usin	22
2345	platelet	plaquette	platelet	plaquet	67
2346	playwright	dramaturge	playwright	dramaturg	32
2347	pleasant	agréable	pleasant	agréabl	13
2348	pleasantest	le plus agréable	pleasantest	le plus agré	26
2349	pleat	pli	pleat	pli	50
2350	pliant	souple	pliant	soupl	36
2351	plight	situation critique	plight	situation crit	20
2352	plot	terrain	plot	terrain	18
2353	pluckiest	le plus dur	pluckiest	le plus dur	40
2354	plummet	plomb	plummet	plomb	50
2355	pluperfect	parfait	pluperfect	parf	43
2356	pluralist	pluraliste	pluralist	plural	80
2357	pocket	poche	pocket	poch	60
2358	poet	poète	poet	poet	100
2359	poignant	poignant	poignant	poign	77
2360	point	point	point	point	100
2361	pointillist	pointilliste	pointillist	pointill	84
2362	polecat	putois	polecat	putois	31
2363	polemicist	polémiste	polemicist	polem	67
2364	politest	le plus poli	politest	le plus pol	32
2365	pollutant	polluant	pollut	pollu	91
2366	poltergeist	esprit frappeur	poltergeist	esprit frappeur	31
2367	polyglot	polyglotte	polyglot	polyglott	94
2368	polytheist	polythéiste	polytheist	polythé	71
2369	poorest	plus pauvre	poorest	plus pauvr	24
2370	poppet	poupée	poppet	poup	60
2371	populist	populiste	populist	popul	77
2372	port	Port	port	port	100
2373	portent	présage	portent	présag	31
2374	portrait	portrait	portrait	portr	77
2375	portraitist	portraitiste	portraitist	portrait	84
2376	posit	postuler	posit	postul	73
2377	positivist	positiviste	positivist	positiv	82
2378	post	Publier	post	publi	22
2379	postmodernist	postmoderne	postmodernist	postmodern	87
2380	postponement	report	postpon	report	46
2381	postscript	post-scriptum	postscript	post-scriptum	87
2382	pot	pot	pot	pot	100
2383	potent	puissant	potent	puiss	18
2384	potshot	Potshot	potshot	potshot	100
2385	poult	dindonneau	poult	dindonneau	27
2386	pout	moue	pout	mou	57
2387	powerboat	bateau à moteur	powerboat	bateau à moteur	25
2388	pragmatist	pragmatiste	pragmatist	pragmat	82
2389	prat	imbécile	prat	imbécil	0
2390	preadolescent	préadolescent	preadolesc	préadolescent	78
2391	precedent	précédent	preced	précédent	40
2392	precept	précepte	precept	précept	86
2393	precinct	enceinte	precinct	enceint	67
2394	predicament	situation difficile	predica	situation difficil	24
2395	predict	prédire	predict	prédir	62
2396	predominant	prédominant	predomin	prédomin	88
2397	prefect	préfet	prefect	préfet	77
2398	preferment	préférence	prefer	préférent	40
2399	pregnant	Enceinte	pregnant	enceint	53
2400	preheat	Préchauffer	preheat	préchauff	50
2401	prepayment	prépaiement	prepay	prépai	67
2402	preponderant	prépondérant	preponder	préponder	89
2403	prescriptivist	prescriptiviste	prescriptivist	prescriptiv	88
2404	preselect	présélectionner	preselect	présélection	67
2405	present	cadeau	present	cadeau	15
2406	presentiment	pressentiment	presenti	pressent	88
2407	preset	préréglé	preset	préregl	46
2408	president	Président	presid	président	67
2409	pretext	prétexte	pretext	prétext	86
2410	pretreatment	prétraitement	pretreat	prétrait	75
2411	prettiest	plus jolie	prettiest	plus jol	24
2412	prevalent	fréquent	preval	fréquent	29
2413	prevent	empêcher	prevent	empêch	15
2414	prickliest	le plus piquant	prickliest	le plus piqu	18
2415	priest	prêtre	priest	prêtr	55
2416	print	impression	print	impress	33
2417	printout	imprimer	printout	imprim	43
2418	privet	troène	privet	troen	36
2419	probabilist	probabiliste	probabilist	probabil	84
2420	procurement	approvisionnement	procur	approvision	35
2421	product	produit	product	produit	86
2422	proficient	compétent	profici	compétent	12
2423	profit	profit	profit	prof	80
2424	profoundest	le plus profond	profoundest	le plus profond	54
2425	prohibit	interdire	prohibit	interdir	25
2426	prohibitionist	prohibitionniste	prohibitionist	prohibition	88
2427	project	projet	project	projet	92
2428	projectionist	projectionniste	projectionist	projection	87
2429	proletariat	prolétariat	proletariat	prolétariat	91
2430	prominent	important	promin	import	33
2431	prompt	rapide	prompt	rapid	18
2432	pronouncement	déclaration	pronounc	déclar	14
2433	propagandist	propagandiste	propagandist	propagand	86
2434	propellant	propergol	propel	propergol	80
2435	prophet	prophète	prophet	prophet	100
2436	proponent	partisan	propon	partisan	43
2437	prosaist	prosateur	prosaist	prosateur	71
2438	prospect	perspective	prospect	perspect	88
2439	protagonist	protagoniste	protagonist	protagon	84
2440	protect	protéger	protect	proteg	77
2441	protectionist	protectionniste	protectionist	protection	87
2442	protest	manifestation	protest	manifest	40
2443	protestant	protestant	protest	protest	100
2444	protract	prolonger	protract	prolong	40
2445	proudest	le plus fier	proudest	le plus fi	33
2446	provident	prévoyant	provid	prévoi	67
2447	provost	prévôt	provost	prévôt	62
2448	prudent	prudent	prudent	prudent	100
2449	prurient	lascif	prurient	lascif	14
2450	psalmist	psalmiste	psalmist	psalmist	100
2451	psephologist	psephologue	psephologist	psephologu	82
2452	psychiatrist	psychiatre	psychiatrist	psychiatr	86
2453	psychoanalyst	psychanalyste	psychoanalyst	psychanalyst	96
2454	psychologist	psychologue	psychologist	psychologu	82
2455	psychotherapist	psychothérapeute	psychotherapist	psychothérapeut	80
2456	pubescent	pubescent	pubesc	pubescent	80
2457	publicist	journaliste	publicist	journal	25
2458	pugilist	pugiliste	pugilist	pugil	77
2459	puissant	puissant	puissant	puiss	77
2460	pulpit	chaire	pulpit	chair	18
2461	pundit	expert	pundit	expert	33
2462	pungent	âcre	pungent	âcre	18
2463	puniest	le plus chétif	puniest	le plus chet	42
2464	punishment	Châtiment	punish	chât	20
2465	punnet	petit panier	punnet	petit pani	38
2466	punt	coup de volée	punt	coup de vol	13
2467	puppet	fantoche	puppet	fantoch	15
2468	purest	le plus pur	purest	le plus pur	35
2469	purist	puriste	purist	purist	100
2470	purport	portée	purport	port	73
2471	pursuant	conformément	pursuant	conform	13
2472	pursuit	poursuite	pursuit	poursuit	93
2473	pussycat	minou	pussycat	minou	15
2474	put	mettre	put	mettr	25
2475	putput	putt	putput	putt	80
2476	putrescent	putrescent	putresc	putrescent	82
2477	putt	putt	putt	putt	100
2478	puzzlement	perplexité	puzzlement	perplex	35
2479	quadrant	quadrant	quadrant	quadr	77
2480	quaint	pittoresque	quaint	pittoresqu	25
2481	quart	litre	quart	litr	22
2482	quartet	quatuor	quartet	quatuor	57
2483	queerest	le plus étrange	queerest	le plus étrang	18
2484	quest	quête	quest	quêt	67
2485	quickest	le plus rapide	quickest	le plus rapid	19
2486	quiescent	tranquille	quiescent	tranquill	33
2487	quiet	calmer	quiet	calm	0
